"ORF", "Empirical phi from data in Beyer et al 2003"
YAL001C,0.008886154568855773
YAL002W,0.003230742029460105
YAL003W,4.07268971775323
YAL005C,1.189554075018872
YAL007C,0.09271682398714509
YAL008W,0.07363237996853809
YAL009W,0.02451108664536396
YAL010C,0.008605737272747781
YAL011W,0.01637584878085682
YAL012W,1.261992884943103
YAL013W,0.06334094030054102
YAL014C,0.02744344874511829
YAL015C,0.0257192129443018
YAL016W,0.2432010850539144
YAL017W,0.009616617502535097
YAL018C,0.007849240751901362
YAL019W,0.03881276823779265
YAL020C,0.02470116245936749
YAL021C,0.07769515592096365
YAL022C,0.09221523321194269
YAL023C,0.3228354075303067
YAL024C,0.002008245703796593
YAL025C,0.08824334674035681
YAL026C,0.003021892575733644
YAL027W,0.02961769267471143
YAL028W,0.006259553779546848
YAL029C,0.01070043907770885
YAL030W,0.2403566603363539
YAL031C,0.01526735535327735
YAL032C,0.005799161543299249
YAL033W,0.07453104579580716
YAL034C,0.001525996422424438
YAL034WA,0.006984605915564769
YAL035W,0.2857038922358341
YAL036C,0.3491851189874785
YAL037W,0.008014036974864066
YAL038W,14.56123418685203
YAL039C,0.2378356986391705
YAL040C,0.01915893030124951
YAL041W,0.01412289000425592
YAL042W,0.4625202364555358
YAL043C,0.02276369399782676
YAL044C,1.007135200842627
YAL046C,0.06162589813390968
YAL047C,0.006218822418943521
YAL048C,0.002639972808296346
YAL049C,0.2205188644869325
YAL051W,0.0162919705459894
YAL053W,0.1480076647098908
YAL054C,0.003735486774008861
YAL055W,0.08669062160460323
YAL056W,0.0125988314415767
YAL058W,0.05662211176641155
YAL059W,0.1476788225374929
YAL060W,0.1071416138447244
YAL061W,0.01077407518249711
YAL062W,0.02864901241969873
YAL063C,0.00067098240594812
YAL064CA,0.004814664136467789
YAL064W,0.005306985733033558
YAL064WB,0.005463698545272308
YAL065C,0.002324244250672474
YAL067C,0.003482366520277964
YAL068C,0.05321098498804367
YAR002CA,0.3305664242944281
YAR002W,0.08884071717034562
YAR003W,0.01736109311326722
YAR007C,0.07203596678023249
YAR008W,0.0636473309685742
YAR009C,0.2018132004570547
YAR010C,0.0779017196620578
YAR014C,0.01781010565531554
YAR015W,0.2413248496822911
YAR018C,0.02681374646537146
YAR019C,0.004468042078214849
YAR020C,0.9945515230791717
YAR023C,0.005317873592469367
YAR027W,0.05884539091469506
